trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-221.9895401520929,"{0: 8, 1: 2, 2: 4, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-79.39891745869915,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-68.87606141695336,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-30.881279586884688,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-111.72865909324537,"{0: 27, 1: 0, 2: 4, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-133.2460275817937,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-232.28286482818075,"{0: 20, 1: 1, 2: 9, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-144.3797098132531,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-129.6402155227693,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,1,-260.78356583114874,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 5}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,7,7.485009967305994,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-72.17574363206894,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,7,-9.806640758119228,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-53.445319952065354,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,9,4.098885266134315,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-70.60990862995881,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-123.29492335438817,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,13,9.643202819324642,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-113.46974013232517,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-32.987810049121556,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 0}",35,26,16.87843636789269,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 0}",25,6,-186.04018412127684,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 5}",1
3,True,"{'a': 0.5, 'e': 0}",20,0,-74.02062949339066,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 0}",20,0,14.738727965110778,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 0}",20,3,12.673384081459135,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 0}",20,0,-22.026412014869255,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 0}",20,0,-19.212926644618623,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 0}",25,0,21.19447622059394,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 0}",25,16,17.251850454580858,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 0}",25,0,23.012269787927387,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
