trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.73052661859245,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-321.06828036694344,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 6}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,4,-89.84635027392605,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.08562407246238,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-183.53126287656576,"{0: 20, 1: 6, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,10,-134.93214430879726,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.12190229906567,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,5,-73.36514117644757,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.96304824437422,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-224.9255235311574,"{0: 12, 1: 6, 2: 7, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.41805771857298,"{0: 23, 1: 2, 2: 1, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.23222868431898,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.555884790197986,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-152.03993040047803,"{0: 21, 1: 4, 2: 7, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.83361539517136,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.86434736229113,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-148.77728161380134,"{0: 21, 1: 2, 2: 8, 3: 4, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.94072113971596,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.9776852502716,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.1226943867451,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.3918884982928,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.02200986450947,"{0: 11, 1: 4, 2: 4, 3: 4, 4: 2}",0
23,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.47535855280935,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.19475889594653,"{0: 10, 1: 1, 2: 4, 3: 3, 4: 2}",0
25,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.199435656480105,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.22886881758407,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
27,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.40081661280547,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.56252956901815,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 1.0}",30,0,-150.62700011287595,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
30,False,"{'a': 0.5, 'e': 1.0}",30,0,9.177156650177839,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 1.0}",25,0,-225.69406661284552,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 4}",0
32,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.92259734468588,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 1.0}",30,0,-89.79812318627162,"{0: 20, 1: 1, 2: 7, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 1.0}",20,5,-76.44098032898727,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 1}",1
35,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.65214265469984,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 1.0}",20,11,-28.475721445601952,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.62455776009932,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.62692324795825,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
39,False,"{'a': 0.5, 'e': 1.0}",30,0,-93.6239664306779,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 1.0}",30,0,-234.17266538400295,"{0: 18, 1: 1, 2: 5, 3: 2, 4: 4}",0
41,False,"{'a': 0.5, 'e': 1.0}",30,0,-236.30815615449853,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
42,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.40623207076507,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
43,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.62617992659312,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.28640554653043,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
45,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.31389991848978,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
