trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-104.61511831251205,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.77067775975698,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.46584134363704,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.72100524915969,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.29762972071498,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.77691536782831,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.04808721077373,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-107.16175317488361,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.36537492457633,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.91411750871427,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.8212599659966,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.02305163879713,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.67156877664823,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,5,-208.45662194824257,"{0: 8, 1: 0, 2: 8, 3: 1, 4: 3}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.16131129133493,"{0: 7, 1: 4, 2: 5, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.82103163801287,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.80803682741262,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.84517125891362,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.48256974864002,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-199.41678666059207,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.02464245806044,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.22553956314303,"{0: 9, 1: 1, 2: 7, 3: 3, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-188.7163799468392,"{0: 13, 1: 5, 2: 10, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.80041229987394,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.58817512845792,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,7,-46.38297688672837,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-194.1020137183736,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-56.23044761310581,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.89680276962117,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.72384234966396,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
